year,month,date,title
2021,12,22,동계 계절학기
2022,01,11,동계 계절학기
2021,12,30,성적 이의신청 및 정정
2022,01,04,성적 이의신청 및 정정
2022,01,01,신정
2022,01,03,전과 신청
2022,01,11,전과 신청
2022,01,03,재입학 신청
2022,01,19,재입학 신청
2022,01,13,성적표 발송
2022,01,24,예비수강신청
2022,01,26,예비수강신청
2022,01,31,설 연휴
2022,02,02,설 연휴
2022,01,31,설 연휴
2022,02,02,설 연휴
2022,02,07,수강신청
2022,02,09,수강신청
2022,02,15,수강정정
2022,02,16,수강정정
2022,02,17,전기 학위수여식
2022,02,18,신입생 수강신청
2022,02,18,2022-1학기 등록금 수납
2022,02,24,2022-1학기 등록금 수납
2022,02,21,신입생 수강신청
2022,03,01,삼일절
2022,03,02,"개강, 입학식"
2022,03,02,최종수강정정
2022,03,08,최종수강정정
2022,03,09,20대 대통령 선거
2022,03,10,개교기념일
2022,03,28,수업일수 1/4
2022,04,04,이수구분변경 신청
2022,04,08,이수구분변경 신청
2022,04,05,수업일수 1/3
2022,04,06,중간 수업평가
2022,04,20,중간 수업평가
2022,04,11,교직 이수구분변경 신청
2022,04,15,교직 이수구분변경 신청
2022,04,20,중간고사
2022,04,26,중간고사
2022,04,23,수업일수 2/4
2022,04,25,교원자격무시험검정 신청
2022,04,29,교원자격무시험검정 신청
2022,05,01,근로자의 날
2022,05,02,일반학과 부·다전공(복수·연계·학생설계·융합전공·교양학사학위) 신청 및 포기
2022,05,06,일반학과 부·다전공(복수·연계·학생설계·융합전공·교양학사학위) 신청 및 포기
2022,05,05,어린이날
2022,05,08,석가탄신일
2022,05,09,교직 복수전공 신청 및 포기
2022,05,13,교직 복수전공 신청 및 포기
2022,05,10,수업일수 2/3
2022,05,19,수업일수 3/4
2022,05,30,기초필수교양 학점인정 신청
2022,06,07,기초필수교양 학점인정 신청
2022,05,30,기초필수교양 학점인정 신청
2022,06,07,기초필수교양 학점인정 신청
2022,06,01,지방선거
2022,06,06,현충일
2022,06,07,"졸업유예·조기졸업 신청, 학·석사연계과정 신청"
2022,06,17,"졸업유예·조기졸업 신청, 학·석사연계과정 신청"
2022,06,08,보강주간
2022,06,14,보강주간
2022,06,13,전과 신청
2022,06,24,전과 신청
2022,06,15,기말고사
2022,06,21,기말고사
2022,06,15,수업평가 및 성적열람
2022,06,27,수업평가 및 성적열람
2022,06,21,수업일수 4/4
2022,06,22,하계방학 시작
2022,06,22,하계 계절학기
2022,07,12,하계 계절학기
2022,06,29,성적 이의신청 및 정정
2022,07,01,성적 이의신청 및 정정
2022,06,22,하계 계절학기
2022,07,12,하계 계절학기
2022,06,29,성적 이의신청 및 정정
2022,07,01,성적 이의신청 및 정정
2022,07,01,재입학 신청
2022,07,15,재입학 신청
2022,07,25,예비수강신청
2022,07,26,예비수강신청
2022,08,03,수강신청
2022,08,05,수강신청
2022,08,15,광복절
2022,08,17,수강정정
2022,08,18,수강정정
2022,08,18,후기 학위수여식
2022,08,22,2022-2학기 등록금 수납
2022,08,26,2022-2학기 등록금 수납
2022,09,01,개강
2022,09,01,최종수강정정
2022,09,07,최종수강정정
2022,09,09,추석연휴
2022,09,11,추석연휴
2022,09,12,대체공휴일(추석)
2022,09,27,수업일수 1/4
2022,10,03,개천절
2022,10,04,이수구분변경 신청
2022,10,11,이수구분변경 신청
2022,10,05,수업일수 1/3
2022,10,06,중간 수업평가
2022,10,20,중간 수업평가
2022,10,09,한글날
2022,10,10,대체공휴일(한글날)
2022,10,11,교직 이수구분변경 신청
2022,10,17,교직 이수구분변경 신청
2022,10,20,중간고사
2022,10,26,중간고사
2022,10,23,수업일수 2/4
2022,10,24,교원자격무시험검정 신청
2022,10,28,교원자격무시험검정 신청
2022,10,24,교직과정이수 신청
2022,11,04,교직과정이수 신청
2022,10,24,교직과정이수 신청
2022,11,04,교직과정이수 신청
2022,11,01,일반학과 부·다전공(복수·연계·학생설계·융합전공·교양학사학위) 신청 및 포기
2022,11,07,일반학과 부·다전공(복수·연계·학생설계·융합전공·교양학사학위) 신청 및 포기
2022,11,07,교직 복수전공 신청 및 포기
2022,11,11,교직 복수전공 신청 및 포기
2022,11,08,학교법인 박영학원 설립기념일
2022,11,09,수업일수 2/3
2022,11,18,수업일수 3/4
2022,12,05,기초필수교양 학점인정 신청
2022,12,09,기초필수교양 학점인정 신청
2022,12,05,"졸업유예·조기졸업 신청, 학·석사연계과정 신청"
2022,12,16,"졸업유예·조기졸업 신청, 학·석사연계과정 신청"
2022,12,08,보강주간
2022,12,14,보강주간
2022,12,15,기말고사
2022,12,21,기말고사
2022,12,15,수업평가 및 성적열람
2022,12,28,수업평가 및 성적열람
2022,12,19,전과신청
2022,12,30,전과신청
2022,12,21,수업일수 4/4
2022,12,22,동계방학 시작
2022,12,22,동계 계절학기
2023,01,11,동계 계절학기
2022,12,25,성탄절
2022,12,30,성적 이의신청 및 정정
2023,01,04,성적 이의신청 및 정정
